월,연도,원인,건수
7,2006,쓰레기소각,0
7,2006,담뱃불실화,0
7,2006,성묘객실화,0
7,2006,어린이불장난,0
7,2006,건축물화재,0
7,2006,기타,0
7,2007,입산자실화,0
7,2007,논밭두렁등소각,0
7,2007,쓰레기소각,0
7,2007,담뱃불실화,0
7,2007,성묘객실화,0
7,2007,어린이불장난,0
7,2007,건축물화재,0
7,2007,기타,0
7,2008,입산자실화,0
7,2008,논밭두렁등소각,0
7,2008,쓰레기소각,0
7,2008,담뱃불실화,0
7,2008,성묘객실화,0
7,2008,어린이불장난,0
7,2008,건축물화재,0
7,2008,기타,0
7,2009,입산자실화,0
7,2009,논밭두렁등소각,0
7,2009,쓰레기소각,0
7,2009,담뱃불실화,0
7,2009,성묘객실화,0
7,2009,어린이불장난,0
7,2009,건축물화재,0
7,2009,기타,0
7,2010,입산자실화,0
7,2010,논밭두렁등소각,0
7,2010,쓰레기소각,0
7,2010,담뱃불실화,0
7,2010,성묘객실화,0
7,2010,어린이불장난,0
7,2010,건축물화재,0
7,2010,기타,0
7,2011,입산자실화,0
7,2011,논밭두렁등소각,0
7,2011,쓰레기소각,0
7,2011,담뱃불실화,0
7,2011,성묘객실화,0
7,2011,어린이불장난,0
7,2011,건축물화재,0
7,2011,기타,0
7,2012,입산자실화,0
7,2012,논밭두렁등소각,0
